"","duration","gross","genres","movie_title","num_voted_users","plot_keywords","movie_imdb_link","language","country","budget","title_year","imdb_score"
"1",178,760505847,"Action|Adventure|Fantasy|Sci-Fi","Avatar ",886204,"avatar|future|marine|native|paraplegic","http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1","English","USA",2.37e+08,2009,7.9
"2",169,309404152,"Action|Adventure|Fantasy","Pirates of the Caribbean: At World's End ",471220,"goddess|marriage ceremony|marriage proposal|pirate|singapore","http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1","English","USA",3e+08,2007,7.1
"3",148,200074175,"Action|Adventure|Thriller","Spectre ",275868,"bomb|espionage|sequel|spy|terrorist","http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1","English","UK",2.45e+08,2015,6.8
"4",164,448130642,"Action|Thriller","The Dark Knight Rises ",1144337,"deception|imprisonment|lawlessness|police officer|terrorist plot","http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1","English","USA",2.5e+08,2012,8.5
"6",132,73058679,"Action|Adventure|Sci-Fi","John Carter ",212204,"alien|american civil war|male nipple|mars|princess","http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1","English","USA",263700000,2012,6.6
"7",156,336530303,"Action|Adventure|Romance","Spider-Man 3 ",383056,"sandman|spider man|symbiote|venom|villain","http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1","English","USA",2.58e+08,2007,6.2
"8",100,200807262,"Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance","Tangled ",294810,"17th century|based on fairy tale|disney|flower|tower","http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1","English","USA",2.6e+08,2010,7.8
"9",141,458991599,"Action|Adventure|Sci-Fi","Avengers: Age of Ultron ",462669,"artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero","http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1","English","USA",2.5e+08,2015,7.5
"10",153,301956980,"Adventure|Family|Fantasy|Mystery","Harry Potter and the Half-Blood Prince ",321795,"blood|book|love|potion|professor","http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1","English","UK",2.5e+08,2009,7.5
"11",183,330249062,"Action|Adventure|Sci-Fi","Batman v Superman: Dawn of Justice ",371639,"based on comic book|batman|sequel to a reboot|superhero|superman","http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1","English","USA",2.5e+08,2016,6.9
"12",169,200069408,"Action|Adventure|Sci-Fi","Superman Returns ",240396,"crystal|epic|lex luthor|lois lane|return to earth","http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1","English","USA",2.09e+08,2006,6.1
"13",106,168368427,"Action|Adventure","Quantum of Solace ",330784,"action hero|attempted rape|bond girl|official james bond series|revenge","http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1","English","UK",2e+08,2008,6.7
"14",151,423032628,"Action|Adventure|Fantasy","Pirates of the Caribbean: Dead Man's Chest ",522040,"box office hit|giant squid|heart|liar's dice|monster","http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1","English","USA",2.25e+08,2006,7.3
"15",150,89289910,"Action|Adventure|Western","The Lone Ranger ",181792,"horse|outlaw|texas|texas ranger|train","http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1","English","USA",2.15e+08,2013,6.5
"16",143,291021565,"Action|Adventure|Fantasy|Sci-Fi","Man of Steel ",548573,"based on comic book|british actor playing american character|final battle|origin of hero|reboot","http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1","English","USA",2.25e+08,2013,7.2
"17",150,141614023,"Action|Adventure|Family|Fantasy","The Chronicles of Narnia: Prince Caspian ",149922,"brother brother relationship|brother sister relationship|good versus evil|king|narnia","http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1","English","USA",2.25e+08,2008,6.6
"18",173,623279547,"Action|Adventure|Sci-Fi","The Avengers ",995415,"alien invasion|assassin|battle|iron man|soldier","http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1","English","USA",2.2e+08,2012,8.1
"19",136,241063875,"Action|Adventure|Fantasy","Pirates of the Caribbean: On Stranger Tides ",370704,"blackbeard|captain|pirate|revenge|soldier","http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1","English","USA",2.5e+08,2011,6.7
"20",106,179020854,"Action|Adventure|Comedy|Family|Fantasy|Sci-Fi","Men in Black 3 ",268154,"alien|criminal|m.i.b.|maximum security prison|prison","http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1","English","USA",2.25e+08,2012,6.8
"21",164,255108370,"Adventure|Fantasy","The Hobbit: The Battle of the Five Armies ",354228,"army|elf|hobbit|middle earth|orc","http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1","English","New Zealand",2.5e+08,2014,7.5
"22",153,262030663,"Action|Adventure|Fantasy","The Amazing Spider-Man ",451803,"lizard|outcast|spider|spider man|teenager","http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1","English","USA",2.3e+08,2012,7
"23",156,105219735,"Action|Adventure|Drama|History","Robin Hood ",211765,"1190s|archer|england|king of england|robin hood","http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1","English","USA",2e+08,2010,6.7
"24",186,258355354,"Adventure|Fantasy","The Hobbit: The Desolation of Smaug ",483540,"dwarf|elf|lake town|mountain|sword and sorcery","http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1","English","USA",2.25e+08,2013,7.9
"25",113,70083519,"Adventure|Family|Fantasy","The Golden Compass ",149019,"children|epic|friend|girl|quest","http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1","English","USA",1.8e+08,2007,6.1
"26",201,218051260,"Action|Adventure|Drama|Romance","King Kong ",316018,"animal name in title|ape abducts a woman|gorilla|island|king kong","http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1","English","New Zealand",2.07e+08,2005,7.2
"27",194,658672302,"Drama|Romance","Titanic ",793059,"artist|love|ship|titanic|wet","http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1","English","USA",2e+08,1997,7.7
"28",147,407197282,"Action|Adventure|Sci-Fi","Captain America: Civil War ",272670,"based on comic book|knife|marvel cinematic universe|returning character killed off|superhero","http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1","English","USA",2.5e+08,2016,8.2
"29",131,65173160,"Action|Adventure|Sci-Fi|Thriller","Battleship ",202382,"box office flop|hawaii|naval|oahu hawaii|ship","http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1","English","USA",2.09e+08,2012,5.9
"30",124,652177271,"Action|Adventure|Sci-Fi|Thriller","Jurassic World ",418214,"dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor","http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1","English","USA",1.5e+08,2015,7
